2,3,2010,37,52,22,36,17,24
2,6,2010,22,54,52,14,59,4
2,10,2010,29,8,37,38,5,34
2,13,2010,14,10,40,51,30,1
2,17,2010,36,7,26,8,19,15
2,20,2010,13,54,41,37,27,32
2,24,2010,50,17,57,35,4,12
2,27,2010,47,18,58,53,51,30
3,3,2010,14,49,9,7,45,23
3,6,2010,41,33,10,59,29,15
3,10,2010,41,37,17,50,21,1
3,13,2010,16,36,20,6,31,8
3,17,2010,55,26,48,45,24,8
3,20,2010,9,36,44,45,39,9
3,24,2010,14,49,39,24,20,7
3,27,2010,21,7,32,52,44,10
3,31,2010,13,45,54,5,17,12
4,3,2010,15,59,52,10,31,4
4,7,2010,36,52,44,4,40,33
4,10,2010,21,22,52,49,58,34
4,14,2010,14,6,32,52,38,20
4,17,2010,22,41,49,21,5,15
4,21,2010,11,34,55,41,49,20
4,24,2010,57,56,1,53,12,5
4,28,2010,28,44,12,22,25,24
5,1,2010,23,25,16,49,58,20
5,5,2010,47,13,34,40,57,11
5,8,2010,41,5,57,34,22,31
5,12,2010,52,58,53,37,51,38
5,15,2010,28,15,36,23,21,20
5,19,2010,7,58,55,29,2,27
5,22,2010,20,19,47,57,40,29
5,26,2010,6,20,10,1,13,32
5,29,2010,24,3,28,1,41,10
6,2,2010,39,14,43,9,4,38
6,5,2010,18,34,40,59,48,25
6,9,2010,22,49,27,14,32,5
6,12,2010,38,13,12,9,35,30
6,16,2010,29,18,11,36,8,6
6,19,2010,54,31,9,30,50,39
6,23,2010,48,11,45,30,47,10
6,26,2010,57,30,13,38,32,25
6,30,2010,38,43,6,48,47,27
7,3,2010,52,53,3,14,10,3
7,7,2010,10,41,44,56,48,4
7,10,2010,28,21,20,56,27,4
7,14,2010,21,23,38,20,42,6
7,17,2010,27,37,22,45,35,3
7,21,2010,16,58,22,30,51,25
7,24,2010,59,30,46,38,20,27
7,28,2010,1,11,20,27,25,2
7,31,2010,1,57,16,41,17,15
8,4,2010,53,30,19,37,28,36
8,7,2010,52,26,31,22,4,30
8,11,2010,22,52,10,23,7,29
8,14,2010,58,50,36,9,33,31
8,18,2010,47,4,33,32,55,39
8,21,2010,7,22,10,27,12,26
8,25,2010,17,36,29,16,31,23
8,28,2010,32,56,4,27,22,13
9,1,2010,40,20,21,17,51,19
9,4,2010,33,22,42,14,11,38
9,8,2010,10,57,51,35,39,20
9,11,2010,36,20,59,17,7,33
9,15,2010,7,20,21,34,43,34
9,18,2010,18,44,1,39,37,13
9,22,2010,10,36,52,24,55,15
9,25,2010,8,35,27,16,42,30
9,29,2010,52,13,55,44,51,30
10,2,2010,30,12,36,20,47,25
10,6,2010,26,41,14,37,46,24
10,9,2010,42,32,49,6,2,35
10,13,2010,46,34,32,22,12,2
10,16,2010,28,16,12,11,15,11
10,20,2010,20,39,7,17,59,17
10,23,2010,20,2,46,7,16,34
10,27,2010,25,24,20,59,53,15
10,30,2010,49,7,27,1,36,39
11,3,2010,34,45,38,39,50,33
11,6,2010,7,12,23,34,38,33
11,10,2010,5,8,44,40,11,10
11,13,2010,30,51,17,48,54,29
11,17,2010,14,59,54,53,16,5
11,20,2010,12,10,38,53,57,1
11,24,2010,20,8,21,37,32,4
11,27,2010,47,37,30,54,10,39
12,1,2010,10,5,12,11,20,2
12,4,2010,27,24,42,31,13,22
12,8,2010,25,8,11,58,41,16
12,11,2010,1,8,19,10,20,23
12,15,2010,32,18,45,10,11,18
12,18,2010,43,19,4,11,33,14
12,22,2010,33,11,44,47,46,12
12,25,2010,52,50,1,38,17,24
12,29,2010,18,37,20,16,3,30
1,1,2011,37,47,18,22,54,36
1,5,2011,40,22,32,26,38,7
1,8,2011,7,52,6,33,26,24
1,12,2011,48,23,40,21,19,27
1,15,2011,22,13,9,37,23,31
1,19,2011,36,51,56,22,59,32
1,22,2011,34,30,51,31,45,23
1,26,2011,4,47,58,5,36,6
1,29,2011,28,45,24,52,49,2
2,2,2011,33,57,53,3,14,36
2,5,2011,15,41,59,37,56,5
2,9,2011,51,39,42,11,7,30
2,12,2011,32,52,36,48,11,19
2,16,2011,23,48,21,9,13,24
2,19,2011,12,34,3,42,37,36
2,23,2011,32,36,39,29,49,29
2,26,2011,4,45,21,17,13,10
3,2,2011,50,58,7,31,51,6
3,5,2011,42,31,23,48,2,21
3,9,2011,12,20,28,40,48,8
3,12,2011,4,41,1,12,47,3
3,16,2011,53,28,48,39,40,9
3,19,2011,11,20,46,27,3,8
3,23,2011,15,28,5,26,32,9
3,26,2011,10,4,11,33,19,27
3,30,2011,58,56,20,19,42,37
4,2,2011,43,22,34,6,45,23
4,6,2011,56,18,55,10,41,15
4,9,2011,53,5,56,14,32,11
4,13,2011,4,49,39,50,23,39
4,16,2011,21,55,33,45,44,7
4,20,2011,9,24,43,34,36,27
4,23,2011,58,11,3,48,47,19
4,27,2011,40,44,55,24,4,5
4,30,2011,41,15,6,13,32,3
5,4,2011,15,41,29,27,3,24
5,7,2011,11,55,47,2,27,15
5,11,2011,43,32,9,45,17,31
5,14,2011,40,18,17,8,44,16
5,18,2011,7,12,42,49,13,16
5,21,2011,8,49,2,40,50,36
5,25,2011,50,4,31,42,23,23
5,28,2011,43,12,20,51,55,11
6,1,2011,56,38,46,8,18,31
6,4,2011,17,58,39,19,41,21
6,8,2011,53,37,14,44,45,29
6,11,2011,50,16,18,36,27,8
6,15,2011,41,43,20,19,38,29
6,18,2011,22,38,21,12,41,18
6,22,2011,59,12,46,19,15,12
6,25,2011,18,39,57,36,41,12
6,29,2011,30,24,57,59,45,26
7,2,2011,11,29,1,51,18,32
7,6,2011,55,50,24,11,15,8
7,9,2011,31,9,23,1,11,6
7,13,2011,54,18,8,19,32,8
7,16,2011,28,48,54,24,50,25
7,20,2011,40,42,38,1,4,17
7,23,2011,38,1,48,27,7,30
7,27,2011,40,51,59,41,38,33
7,30,2011,55,20,40,47,41,19
8,3,2011,49,19,13,28,21,11
8,6,2011,57,59,54,25,30,6
8,10,2011,46,41,36,18,11,38
8,13,2011,35,9,50,12,58,4
8,17,2011,31,28,48,18,52,37
8,20,2011,23,2,47,28,17,36
8,24,2011,49,53,13,9,47,39
8,27,2011,2,54,12,58,25,14
8,31,2011,19,35,57,47,13,29
9,3,2011,15,52,25,53,54,2
9,7,2011,54,3,5,27,18,13
9,10,2011,32,53,22,4,19,24
9,14,2011,16,50,42,59,41,5
9,17,2011,43,22,6,20,32,11
9,21,2011,47,52,55,48,12,13
9,24,2011,27,12,3,4,44,26
9,28,2011,41,51,30,50,53,8
10,1,2011,27,43,12,23,1,31
10,5,2011,46,7,43,54,20,17
10,8,2011,35,3,37,27,45,31
10,12,2011,43,10,12,23,47,18
10,15,2011,38,24,5,10,43,1
10,19,2011,26,35,16,52,58,2
10,22,2011,8,3,23,30,58,13
10,26,2011,39,21,1,18,55,6
10,29,2011,11,40,16,51,56,38
11,2,2011,12,39,14,46,34,36
11,5,2011,43,39,2,33,40,26
11,9,2011,58,59,35,5,57,12
11,12,2011,56,4,35,51,36,8
11,16,2011,22,25,39,13,51,28
11,19,2011,16,9,17,28,30,11
11,23,2011,30,35,57,4,59,25
11,26,2011,55,20,37,45,39,28
11,30,2011,47,6,2,34,35,22
12,3,2011,18,5,33,43,45,8
12,7,2011,39,20,14,40,3,37
12,10,2011,33,41,4,19,59,9
12,14,2011,46,52,24,56,2,19
12,17,2011,59,28,51,13,49,33
12,21,2011,31,15,13,54,10,18
12,24,2011,52,51,16,14,30,19
12,28,2011,16,27,45,41,21,14
12,31,2011,5,25,40,23,28,34
1,4,2012,50,35,21,47,46,2
1,7,2012,3,24,38,21,39,24
1,11,2012,47,5,29,45,19,25
1,14,2012,41,30,10,36,38,1
1,18,2012,50,34,29,6,44,28
1,21,2012,44,12,43,24,45,7
1,25,2012,28,19,29,47,4,5
1,28,2012,41,54,59,33,5,13
2,1,2012,8,13,59,17,34,35
2,4,2012,23,56,43,45,15,7
2,8,2012,38,51,17,28,39,33
2,11,2012,37,52,10,1,57,11
2,15,2012,12,11,32,56,52,11
2,18,2012,23,50,28,59,56,5
2,22,2012,17,39,16,7,51,32
2,25,2012,54,11,6,42,53,7
2,29,2012,26,1,11,4,23,14
3,3,2012,47,30,29,49,45,35
3,7,2012,45,35,47,46,12,12
3,10,2012,5,41,20,14,17,5
3,14,2012,1,8,59,46,41,24
3,17,2012,11,55,58,14,49,30
3,21,2012,32,43,53,55,56,6
3,24,2012,15,37,35,1,47,8
3,28,2012,50,58,16,29,11,33
3,31,2012,14,5,58,54,36,27
4,4,2012,33,24,49,45,1,6
4,7,2012,13,30,5,20,17,18
4,11,2012,44,42,16,47,23,2
4,14,2012,15,16,19,14,24,2
4,18,2012,22,39,49,46,20,29
4,21,2012,8,42,51,20,6,16
4,25,2012,29,43,25,4,34,29
4,28,2012,57,40,58,31,39,33
5,2,2012,7,33,50,38,8,29
5,5,2012,12,59,44,20,9,23
5,9,2012,56,7,1,11,55,1
5,12,2012,35,24,58,53,10,22
5,16,2012,21,43,28,3,7,2
5,19,2012,46,13,8,51,35,30
5,23,2012,59,7,53,26,4,32
5,26,2012,49,59,13,41,14,14
5,30,2012,10,56,9,24,52,14
6,2,2012,17,45,10,29,9,33
6,6,2012,59,48,19,33,30,27
6,9,2012,56,45,57,22,18,27
6,13,2012,14,57,33,10,7,18
6,16,2012,14,16,27,15,8,26
6,20,2012,17,11,29,56,57,14
6,23,2012,44,1,53,3,41,30
6,27,2012,58,34,6,46,40,6
6,30,2012,20,7,15,41,44,22
7,4,2012,35,19,14,39,56,33
7,7,2012,5,3,29,59,39,29
7,11,2012,5,36,49,55,22,23
7,14,2012,4,46,16,37,32,13
7,18,2012,5,2,57,23,20,3
7,21,2012,9,54,38,56,31,20
7,25,2012,14,3,46,38,35,16
7,28,2012,6,50,5,36,13,13
8,1,2012,58,3,56,48,16,4
8,4,2012,55,30,53,48,19,18
8,8,2012,7,15,3,11,28,12
8,11,2012,51,13,46,39,4,1
8,15,2012,56,27,46,6,51,21
8,18,2012,55,41,26,14,59,1
8,22,2012,47,31,22,29,55,19
8,25,2012,7,20,6,1,49,23
8,29,2012,49,54,28,25,56,28
9,1,2012,8,44,21,11,49,22
9,5,2012,42,4,26,51,19,29
9,8,2012,34,44,20,48,6,29
9,12,2012,48,56,24,36,33,6
9,15,2012,43,26,3,20,48,1
9,19,2012,50,1,8,39,5,23
9,22,2012,40,42,18,16,2,33
9,26,2012,41,26,42,13,39,10
